

           BASED ON NAD83 (June90 or NMIP94) DATUM           AUG. 6, 1997
         -------------------------------------------
       -  all co-ordinates are in UTM zone 14 unless otherwise stated.
       -  all co-ordinates are NAD83 (June90) unless otherwise stated.
                                                       UTM CO-ORDINATES
       STATION    LOCATION         ZONE  NAD83      EASTING        NORTHING
       7000160      WPG             14   JUNE90    623819.861     5525208.754
       7000161      WPG             14   JUNE90    623835.210     5525228.297
       7000162      WPG             14   JUNE90    623842.222     5525120.093
       7000163      WPG             14   JUNE90    623864.818     5525031.545
       7000164      WPG             14   JUNE90    623882.958     5525030.914
       7000165      WPG             14   JUNE90    623882.073     5525004.953
       7000166      WPG             14   JUNE90    623948.750     5524947.770
       7000168      WPG             14   JUNE90    623924.626     5524862.652
       7000169      WPG             14   JUNE90    623916.373     5524833.465
       7000170      WPG             14   JUNE90    623947.284     5524830.865
       7000171      WPG             14   JUNE90    623942.162     5524812.763
       7000172      WPG             14   JUNE90    624008.284     5524810.454
       7000177      WPG             14   JUNE90    624122.792     5525103.807
       7000178      WPG             14   JUNE90    624143.643     5525123.139
       7000179      WPG             14   JUNE90    624024.114     5525107.177
       7000180      WPG             14   JUNE90    623996.121     5525114.638
       7000181      WPG             14   JUNE90    633738.886     5514029.863
       7000182      WPG             14   JUNE90    633656.840     5514025.852
       7000183      WPG             14   JUNE90    633445.005     5514015.434
       7000184      WPG             14   JUNE90    633405.421     5514013.427
       7000185      WPG             14   JUNE90    633279.543     5513987.298
       7000186      WPG             14   JUNE90    633253.711     5514107.111
       7000187      WPG             14   JUNE90    633273.788     5514108.056
       7000188      WPG             14   JUNE90    633380.332     5514113.308
       7000189      WPG             14   JUNE90    633400.450     5514114.221
       7000190      WPG             14   JUNE90    633667.832     5514147.553
       7000191      WPG             14   JUNE90    633643.331     5514228.628
       7000192      WPG             14   JUNE90    633663.457     5514229.623
       7000193      WPG             14   JUNE90    633645.542     5514245.836
       7000194      WPG             14   JUNE90    633544.847     5514240.933
       7000195      WPG             14   JUNE90    633389.188     5514236.259
       7000196      WPG             14   JUNE90    633395.364     5514216.488
       7000197      WPG             14   JUNE90    633377.721     5514225.600
       7000198      WPG             14   JUNE90    633358.321     5514259.598
       7000199      WPG             14   JUNE90    633210.757     5514163.542
       7000200      WPG             14   JUNE90    633212.775     5514122.253
       7000201      WPG             14   JUNE90    633540.189     5514335.987
       7000202      WPG             14   JUNE90    633638.324     5514380.100
       7000203      WPG             14   JUNE90    633641.313     5514324.615
       7000204      WPG             14   JUNE90    633803.562     5514417.283
       7000205      WPG             14   JUNE90    633849.952     5514592.245
       7000206      WPG             14   JUNE90    633835.800     5514599.679
       7000207      WPG             14   JUNE90    633784.788     5514682.809
       7000208      WPG             14   JUNE90    633644.286     5514554.081
       7000211      WPG             14   JUNE90    633017.022     5514115.803
       7000213      WPG             14   JUNE90    632980.316     5514098.700
       7000214      WPG             14   JUNE90    632988.145     5514162.642
       7000215      WPG             14   JUNE90    632949.645     5514148.393
       7000216      WPG             14   JUNE90    632958.104     5514211.309
       7000217      WPG             14   JUNE90    632947.550     5514228.439
       7000218      WPG             14   JUNE90    632841.315     5514400.824
       7000219      WPG             14   JUNE90    632821.337     5514433.253
       7000220      WPG             14   JUNE90    632788.104     5514487.172
       7000221      WPG             14   JUNE90    632783.294     5514503.075
       7000222      WPG             14   JUNE90    632706.416     5514719.635
       7000223      WPG             14   JUNE90    632709.155     5514651.445
       7000224      WPG             14   JUNE90    632721.127     5514519.032
       7000225      WPG             14   JUNE90    633141.827     5513748.574
       7000226      WPG             14   JUNE90    632877.414     5514016.799
       7000227      WPG             14   JUNE90    632868.437     5514034.847
       7000228      WPG             14   JUNE90    632841.875     5514019.669
       7000229      WPG             14   JUNE90    632824.434     5514009.686
       7000231      WPG             14   JUNE90    632707.472     5513893.940
       7000233      WPG             14   JUNE90    632736.608     5514185.560
       7000234      WPG             14   JUNE90    632603.647     5514452.040
       7000235      WPG             14   JUNE90    632647.785     5514477.143
       7000236      WPG             14   JUNE90    632508.552     5514420.764
       7000239      WPG             14   JUNE90    632221.767     5514347.754
       7000240      WPG             14   JUNE90    632277.062     5514242.483
       7000241      WPG             14   JUNE90    632397.079     5514070.285
       7000242      WPG             14   JUNE90    632515.155     5514116.723
       7000243      WPG             14   JUNE90    632544.228     5514133.318
       7000244      WPG             14   JUNE90    632618.240     5514217.961
       7000245      WPG             14   JUNE90    632564.943     5514324.682
       7000246      WPG             14   JUNE90    632491.546     5514303.815
       7000247      WPG             14   JUNE90    632186.710     5514214.004
       7000249      WPG             14   JUNE90    632172.105     5514202.502
       7000250      WPG             14   JUNE90    632227.476     5514140.263
       7000251      WPG             14   JUNE90    632392.424     5513926.908
       7000252      WPG             14   JUNE90    632426.635     5513876.621
       7000254      WPG             14   JUNE90    632638.144     5513997.308
       7000255      WPG             14   JUNE90    632686.287     5514088.376
       7000256      WPG             14   JUNE90    632664.959     5514114.266
       7000257      WPG             14   JUNE90    632679.034     5514125.873
       7000258      WPG             14   JUNE90    632586.007     5514072.763
       7000259      WPG             14   JUNE90    632551.443     5514053.061
       7000260      WPG             14   JUNE90    632463.756     5513982.019
       7000262      WPG             14   JUNE90    632114.611     5514311.976
       7000263      WPG             14   JUNE90    632049.325     5514479.558
       7000264      WPG             14   JUNE90    632017.471     5514540.274
       7000265      WPG             14   JUNE90    631955.678     5514655.857
       7000266      WPG             14   JUNE90    632038.196     5514684.252
       7000270      WPG             14   JUNE90    622990.655     5525764.227
       7000271      WPG             14   JUNE90    621309.414     5524791.374
       7000290      WPG             14   JUNE90    632255.662     5515705.691
       7000291      WPG             14   JUNE90    632265.631     5515721.297
       7000292      WPG             14   JUNE90    632481.923     5515874.454
       7000293      WPG             14   JUNE90    632989.860     5515852.160
       7000294      WPG             14   JUNE90    633050.079     5515747.118
       7000295      WPG             14   JUNE90    633932.502     5516398.139
       7000296      WPG             14   JUNE90    633999.658     5516281.159
       7000297      WPG             14   JUNE90    634140.875     5516362.137
       7000298      WPG             14   JUNE90    635075.212     5517002.951
       7000299      WPG             14   JUNE90    635626.390     5517289.680
       7000300      WPG             14   JUNE90    634916.696     5515860.144
       7000301      WPG             14   JUNE90    634890.902     5515844.072
       7000302      WPG             14   JUNE90    634868.809     5515843.404
       7000303      WPG             14   JUNE90    634783.238     5515819.862
       7000304      WPG             14   JUNE90    634464.447     5515524.579
       7000305      WPG             14   JUNE90    634454.704     5515542.154
       7000306      WPG             14   JUNE90    634310.472     5515492.716
       7000307      WPG             14   JUNE90    634313.502     5515472.845
       7000308      WPG             14   JUNE90    633844.779     5515400.214
       7000309      WPG             14   JUNE90    633878.454     5515282.063
       7000310      WPG             14   JUNE90    633881.285     5515263.811
       7000311      WPG             14   JUNE90    633672.004     5515373.411
       7000312      WPG             14   JUNE90    633666.153     5515392.870
       7000313      WPG             14   JUNE90    633329.951     5515237.742
       7000314      WPG             14   JUNE90    634924.413     5515601.948
       7000315      WPG             14   JUNE90    634924.094     5515600.147
       7000316      WPG             14   JUNE90    634921.047     5515582.838
       7000317      WPG             14   JUNE90    634862.568     5515071.178
       7000318      WPG             14   JUNE90    634858.103     5515045.711
       7000319      WPG             14   JUNE90    635469.739     5515409.096
       7000320      WPG             14   JUNE90    634804.586     5514914.136
       7000321      WPG             14   JUNE90    634838.451     5514933.071
       7000323      WPG             14   JUNE90    635593.463     5515167.181
       7000324      WPG             14   JUNE90    635654.748     5515201.291
       7000325      WPG             14   JUNE90    634530.511     5514511.039
       7000326      WPG             14   JUNE90    634244.879     5514350.665
       7000327      WPG             14   JUNE90    634754.253     5514434.271
       7000328      WPG             14   JUNE90    634754.596     5514452.680
       7000329      WPG             14   JUNE90    634793.664     5513906.235
       7000330      WPG             14   JUNE90    634795.677     5513890.963
       7000331      WPG             14   JUNE90    634669.078     5513987.337
       7000333      WPG             14   JUNE90    634848.302     5513506.119
       7000334      WPG             14   JUNE90    634865.859     5513377.760
       7000335      WPG             14   JUNE90    635001.547     5513372.537
       7000336      WPG             14   JUNE90    634873.201     5513111.802
       7000337      WPG             14   JUNE90    635124.835     5511706.032
       7000338      WPG             14   JUNE90    635169.790     5511590.134
       7000339      WPG             14   JUNE90    633738.886     5514029.839
       7000340      WPG             14   JUNE90    633765.917     5513642.015
       7000341      WPG             14   JUNE90    633750.921     5513668.643
       7000342      WPG             14   JUNE90    632457.561     5513589.106
       7000343      WPG             14   JUNE90    633333.393     5513426.852
       7000344      WPG             14   JUNE90    633601.373     5512989.008
       7000345      WPG             14   JUNE90    633631.296     5512962.454
       7000346      WPG             14   JUNE90    633640.684     5512954.156
       7000347      WPG             14   JUNE90    633894.452     5512835.161
       7000348      WPG             14   JUNE90    633873.452     5512800.840
       7000349      WPG             14   JUNE90    633952.206     5512729.378
       7000350      WPG             14   JUNE90    634111.659     5512540.879
       7000351      WPG             14   JUNE90    634117.905     5512532.853
       7000352      WPG             14   JUNE90    634274.916     5512397.393
       7000353      WPG             14   JUNE90    633551.887     5535280.106
       7000354      WPG             14   JUNE90    633560.394     5535298.316
       7000355      WPG             14   JUNE90    633578.555     5535289.768
       7000356      WPG             14   JUNE90    633487.424     5535142.698
       7000357      WPG             14   JUNE90    633515.018     5535201.467
       7000361      WPG             14   JUNE90    620896.603     5524561.489
       7000362      WPG             14   JUNE90    620857.452     5524578.109
       7000363      WPG             14   JUNE90    620705.249     5524584.985
       7000364      WPG             14   JUNE90    620994.784     5524501.454
       7000365      WPG             14   JUNE90    621138.453     5524495.164
       7000366      WPG             14   JUNE90    620754.176     5523774.411
       7000367      WPG             14   JUNE90    620756.639     5523829.743
       7000368      WPG             14   JUNE90    621100.548     5523956.188
       7000369      WPG             14   JUNE90    620977.319     5523943.409
       7000370      WPG             14   JUNE90    621399.218     5523943.276
       7000371      WPG             14   JUNE90    621378.918     5523924.019
       7000372      WPG             14   JUNE90    621341.744     5523925.412
       7000373      WPG             14   JUNE90    621381.812     5524003.750
       7000374      WPG             14   JUNE90    621409.260     5524187.440
       7000375      WPG             14   JUNE90    621401.678     5524137.362
       7000376      WPG             14   JUNE90    621451.843     5524255.459
       7000377      WPG             14   JUNE90    621484.857     5524319.536
       7000378      WPG             14   JUNE90    621483.711     5524268.526
       7000380      WPG             14   JUNE90    621717.514     5524641.918
       7000381      WPG             14   JUNE90    621497.430     5524694.178
       7000382      WPG             14   JUNE90    621478.634     5524703.802
       7000383      WPG             14   JUNE90    621378.562     5524757.971
       7000385      WPG             14   JUNE90    635156.655     5534014.649
       7000386      WPG             14   JUNE90    622418.507     5524460.054
       7000387      WPG             14   JUNE90    622398.629     5524465.189
       7000388      WPG             14   JUNE90    621663.473     5523338.541
       7000389      WPG             14   JUNE90    621643.378     5523339.407
